id,parent,base_TransformedCentroid_x,slot_Centroid_x,base_TransformedCentroid_y,slot_Centroid_y,base_PsfFlux_instFlux,base_PsfFlux_instFluxErr,base_PsfFlux_area,base_PsfFlux_chi2,base_PsfFlux_npixels,base_PsfFlux_flag,base_PsfFlux_flag_noGoodPixels,base_PsfFlux_flag_edge,base_InvalidPsf_flag,scienceFlux,scienceFluxErr,mjd,date,band,detector,visit,scienceMag,scienceMagErr
1,0,1592.7315413522665,1592.7315413522665,2567.1433072857076,2567.1433072857076,18539.007959859842,213.80867951542237,59.019665,2316599.5,1681,False,False,False,False,18539.007959859842,213.8133187579334,56509.11798968899,2013-08-05 02:49:54.309129,g,21,223538,20.729783772712587,0.01252196782792329
1,0,1624.375029799159,1624.375029799159,2626.1647428201495,2626.1647428201495,35066.14638871899,324.7404483807827,107.564224,1805166.6,1681,False,False,False,False,35066.14638871899,324.755726893544,56509.18257059134,2013-08-05 04:22:54.099092,g,21,223574,20.037779896250907,0.010055255187786974
1,0,1670.7776727823182,1670.7776727823182,2555.4400255960004,2555.4400255960004,24449.163993379694,289.96383139529104,83.96634,1934921.6,1681,False,False,False,False,24449.163993379694,289.97145183435447,56509.97939865834,2013-08-05 23:30:20.044080,g,21,223797,20.42933996602057,0.012877025312116461
1,0,1604.2108491436384,1604.2108491436384,2543.186593661,2543.186593661,22532.76090889722,237.99274996705273,71.92564,2098831.2,1681,False,False,False,False,22532.76090889722,237.9987083018184,56510.043642861194,2013-08-06 01:02:50.743207,g,21,223833,20.51796397874221,0.011467916219131444
1,0,1604.5214609477814,1604.5214609477814,2551.713936862207,2551.713936862207,22874.804432600034,243.92690669503108,74.65847,2079299.1,1681,False,False,False,False,22874.804432600034,243.93254361088347,56510.10956474344,2013-08-06 02:37:46.393833,g,21,223869,20.501606525580634,0.011578083427879785
1,0,1645.4174906353037,1645.4174906353037,2603.780268770882,2603.780268770882,26395.5115973412,297.2751831679857,89.63279,1763418.1,1681,False,False,False,False,26395.5115973412,297.28451026991587,56510.1750317238,2013-08-06 04:12:02.740936,g,21,223905,20.346174790233604,0.012228312178133735
1,0,1680.8466340821656,1680.8466340821656,2632.8412095094614,2632.8412095094614,43417.7567544331,2285.0364326438075,51.584415,804316.2,1681,False,False,False,False,43417.7567544331,2286.5389177628563,57114.2286756972,2015-04-02 05:29:17.580238,i,21,427316,19.80583154699547,0.05717886579550483
1,0,1667.7899032728265,1667.7899032728265,2622.284888765964,2622.284888765964,7221.514918810684,3426.535860590827,61.012596,46249.523,1681,False,False,False,False,7221.514918810684,3427.5337873337344,57114.22944721111,2015-04-02 05:30:24.239040,g,21,427318,21.75342921803354,0.5153208942692132
1,0,1660.0772679684076,1660.0772679684076,2632.11015161656,2632.11015161656,53344.013228303615,2399.021818772004,58.80503,773687.44,1681,False,False,False,False,53344.013228303615,2401.1783673440787,57114.235009653145,2015-04-02 05:38:24.834032,i,21,427331,19.582285785388198,0.04887233130266655
1,0,1643.2595040099459,1643.2595040099459,2605.184357136477,2605.184357136477,7000.209674395565,3963.66255452188,87.36387,37846.15,1681,False,False,False,False,7000.209674395565,3964.4625895380946,57114.23575694219,2015-04-02 05:39:29.399805,g,21,427333,21.7872223788682,0.6148902341617842
1,0,1667.3347793805372,1667.3347793805372,2620.706118473794,2620.706118473794,29149.991256440095,2150.5854661749972,48.62386,749767.0,1681,False,False,False,False,29149.991256440095,2151.295804574114,57114.2413062107,2015-04-02 05:47:28.856605,i,21,427346,20.23840392792969,0.08012831707640225
1,0,1675.91555216473,1675.91555216473,2620.9498990246634,2620.9498990246634,7780.065108011608,3423.9336715344393,68.75041,43008.035,1681,False,False,False,False,7780.065108011608,3424.9643906825727,57114.24206450241,2015-04-02 05:48:34.373008,g,21,427348,21.67254192142942,0.4779661593245741
1,0,1657.928640083786,1657.928640083786,2638.1736828792814,2638.1736828792814,34063.3823831334,2317.3510581260643,55.86648,799902.75,1681,False,False,False,False,34063.3823831334,2318.2421330913558,57114.249655876294,2015-04-02 05:59:30.267712,i,21,427366,20.0692805755051,0.07389164666569635
1,0,1696.8289618408937,1696.8289618408937,2620.4695225316186,2620.4695225316186,44600.62412908101,2275.6495778752096,57.547714,864322.94,1681,False,False,False,False,44600.62412908101,2277.0865685309514,57114.26262012875,2015-04-02 06:18:10.379124,i,21,427396,19.776647659614298,0.05543230340605211
1,0,1691.7722200152512,1691.7722200152512,2596.521470353926,2596.521470353926,6199.43412055903,2873.769777742968,59.860172,49828.297,1681,False,False,False,False,6199.43412055903,2874.4073804194995,57114.26337469851,2015-04-02 06:19:15.573951,g,21,427398,21.919119876873157,0.5034085530154813
1,0,1683.5855870985708,1683.5855870985708,2621.879795770548,2621.879795770548,37389.50175875158,2029.1278090333053,46.22818,819013.06,1681,False,False,False,False,37389.50175875158,2030.3104138039391,57114.27571106197,2015-04-02 06:37:01.435754,i,21,427426,19.968125805211972,0.05895723182907692
1,0,1674.5592831315046,1674.5592831315046,2614.0502957443327,2614.0502957443327,7052.579823029618,2619.7320566260155,54.42436,58380.695,1681,False,False,False,False,7052.579823029618,2620.585963294829,57114.27644971322,2015-04-02 06:38:05.255222,g,21,427428,21.779129974202274,0.4034360658689996
1,0,1703.2241231597443,1703.2241231597443,2615.7775837328663,2615.7775837328663,37587.9317517555,1936.4330725854206,46.949234,830020.6,1681,False,False,False,False,37587.9317517555,1937.6238816272398,57114.28879865543,2015-04-02 06:55:52.203829,i,21,427456,19.962378925906442,0.055968719252248327
1,0,1679.5936744895544,1679.5936744895544,2597.598679106998,2597.598679106998,7330.410081257538,2689.855621846974,61.102627,52864.242,1681,False,False,False,False,7330.410081257538,2690.7227946897265,57114.289542306164,2015-04-02 06:56:56.455253,g,21,427458,21.73717932293141,0.3985336594786304
1,0,1686.6463375575024,1686.6463375575024,2603.503873443539,2603.503873443539,53448.25968999362,1977.5628942090677,48.642357,827088.6,1681,False,False,False,False,53448.25968999362,1979.8446918032155,57114.30204120869,2015-04-02 07:14:56.360431,i,21,427486,19.580166077837596,0.04021813009734701
1,0,1690.0264341223872,1690.0264341223872,2601.548746721355,2601.548746721355,8864.42554557583,2509.583998010529,58.80082,55329.805,1681,False,False,False,False,8864.42554557583,2510.772169263854,57114.30281368823,2015-04-02 07:16:03.102663,g,21,427488,21.530873508440266,0.30752542644226016
